date,Case_Temperature,inputpower
2022-01-07 01:02:24,33.0,4.2315
2022-01-07 01:02:25,33.0,4.2315
2022-01-07 01:02:26,33.0,4.5766
2022-01-07 01:02:27,33.0,4.5766
2022-01-07 01:02:28,33.0,4.5766
2022-01-07 01:02:29,33.0,3.8988
2022-01-07 01:02:30,33.0,3.8988
2022-01-07 01:02:31,32.9,6.8145
2022-01-07 01:02:32,32.9,6.8145
2022-01-07 01:02:33,32.9,6.8145
2022-01-07 01:02:34,32.9,5.2032
2022-01-07 01:02:35,32.9,5.2032
2022-01-07 01:02:36,32.9,5.2032
2022-01-07 01:02:37,33.0,4.5374
2022-01-07 01:02:38,33.0,4.5374
2022-01-07 01:02:39,33.0,4.5374
2022-01-07 01:02:40,33.0,4.5388
2022-01-07 01:02:41,33.0,4.5388
2022-01-07 01:02:42,33.0,4.5388
2022-01-07 01:02:43,33.0,4.212
2022-01-07 01:02:44,33.0,4.212
2022-01-07 01:02:45,33.0,4.212
2022-01-07 01:02:46,33.0,3.5651
2022-01-07 01:02:47,33.0,3.5651
2022-01-07 01:02:48,33.0,3.5651
2022-01-07 01:02:49,33.0,6.8187
2022-01-07 01:02:50,33.0,6.8187
2022-01-07 01:02:51,33.0,6.8187
2022-01-07 01:02:52,32.9,4.8585
2022-01-07 01:02:53,32.9,4.8585
2022-01-07 01:02:54,32.9,4.8585
2022-01-07 01:02:55,33.0,5.508
2022-01-07 01:02:56,33.0,5.508
2022-01-07 01:02:57,33.0,5.508
2022-01-07 01:02:58,33.0,4.2146
2022-01-07 01:02:59,33.0,4.2146
2022-01-07 01:03:00,33.0,4.2146
2022-01-07 01:03:01,33.0,3.888
2022-01-07 01:03:02,33.0,3.888
2022-01-07 01:03:03,33.0,3.888
2022-01-07 01:03:04,33.0,3.564
2022-01-07 01:03:05,33.0,3.242
2022-01-07 01:03:06,33.0,3.242
2022-01-07 01:03:07,33.0,3.242
2022-01-07 01:03:08,33.1,5.1824
2022-01-07 01:03:09,33.1,5.1824
2022-01-07 01:03:10,33.1,5.1824
2022-01-07 01:03:11,33.0,6.7977
2022-01-07 01:03:12,33.0,6.7977
2022-01-07 01:03:13,33.0,6.7977
2022-01-07 01:03:14,33.1,5.508
